Cycle,Healthy,Mild Disease,Progressive ,Dead (Disease),Dead (Background),Cycle_LE,Cycle_$,Cycle_QALE,Cum_LE,Cum_$,Cum_QALE,Cycle_Dis_LE,Cycle_Dis_$,Cycle_Dis_QALE,Cum_Dis_LE,Cum_Dis_$,Cum_Dis_QALE,p_death_oc,p_mild,p_progression
61,0.6919,0.1519,0.0158,0.0268,0.1136,0.8596,313.8087,0.8499,58.6876,6480.8518,58.4731,0.8596,50.2062,0.136,58.6876,1686.2153,26.6018,0.00856389,0.008,0.016
62,0.6805,0.1537,0.0162,0.0287,0.121,0.8503,318.4162,0.8406,59.5379,6799.268,59.3137,0.8503,49.4595,0.1306,59.5379,1735.6749,26.7324,0.009530159,0.008,0.016
63,0.6685,0.1552,0.0165,0.0306,0.1291,0.8403,322.3992,0.8304,60.3782,7121.6673,60.1441,0.8403,48.6196,0.1252,60.3782,1784.2945,26.8576,0.010610365,0.008,0.016
64,0.6561,0.1564,0.0169,0.0326,0.138,0.8294,325.7204,0.8194,61.2076,7447.3877,60.9635,0.8294,47.6898,0.12,61.2076,1831.9843,26.9776,0.011817092,0.008,0.016
65,0.6431,0.1573,0.0171,0.0346,0.1478,0.8176,353.514,0.8075,62.0252,7800.9017,61.7709,0.8176,50.2516,0.1148,62.0252,1882.2359,27.0924,0.013164221,0.01,0.02
66,0.6282,0.1586,0.018,0.0367,0.1586,0.8047,359.2379,0.7945,62.8299,8160.1396,62.5654,0.8047,49.5779,0.1096,62.8299,1931.8138,27.202,0.014667038,0.01,0.02
67,0.6127,0.1593,0.0188,0.0388,0.1704,0.7908,363.7093,0.7804,63.6207,8523.8489,63.3458,0.7908,48.733,0.1046,63.6207,1980.5468,27.3066,0.016342341,0.01,0.02
68,0.5965,0.1597,0.0194,0.0411,0.1833,0.7756,366.896,0.7651,64.3963,8890.745,64.1109,0.7756,47.7281,0.0995,64.3963,2028.2749,27.4061,0.018208547,0.01,0.02
69,0.5797,0.1595,0.0199,0.0434,0.1974,0.7592,368.7611,0.7486,65.1555,9259.5061,64.8595,0.7592,46.5736,0.0945,65.1555,2074.8485,27.5006,0.020285792,0.01,0.02
70,0.5622,0.1589,0.0203,0.0458,0.2128,0.7414,369.264,0.7308,65.8969,9628.7701,65.5903,0.7414,45.2787,0.0896,65.8969,2120.1272,27.5903,0.022596029,0.01,0.02
