Cycle,Healthy,Mild Disease,Progressive ,Dead (Disease),Dead (Background),Cycle_LE,Cycle_$,Cycle_QALE,Cum_LE,Cum_$,Cum_QALE,Cycle_Dis_LE,Cycle_Dis_$,Cycle_Dis_QALE,Cum_Dis_LE,Cum_Dis_$,Cum_Dis_QALE,p_death_oc,p_mild,p_progression
72,0.5247,0.1561,0.0175,0.0546,0.2471,0.6983,230.4594,0.6877,67.2585,7020.4834,66.9283,0.6983,26.6365,0.0795,67.2585,1560.0653,27.7434,0.028012854,0.01,0.02
73,0.5048,0.1538,0.0175,0.0572,0.2667,0.6761,228.2384,0.6657,67.9346,7248.7219,67.594,0.6761,25.6114,0.0747,67.9346,1585.6767,27.8181,0.031173083,0.01,0.02
74,0.484,0.151,0.0174,0.0598,0.2878,0.6524,225.0091,0.6421,68.587,7473.7309,68.2361,0.6524,24.5137,0.07,68.587,1610.1904,27.888,0.034673635,0.01,0.02
75,0.4624,0.1476,0.0172,0.0624,0.3104,0.6272,220.7621,0.6171,69.2142,7694.493,68.8531,0.6272,23.3505,0.0653,69.2142,1633.5409,27.9533,0.038546325,0.01,0.02
76,0.4399,0.1436,0.0169,0.065,0.3346,0.6004,215.4938,0.5906,69.8146,7909.9868,69.4437,0.6004,22.1293,0.0606,69.8146,1655.6702,28.0139,0.042824856,0.01,0.02
77,0.4167,0.139,0.0165,0.0675,0.3603,0.5722,209.2086,0.5626,70.3868,8119.1954,70.0063,0.5722,20.8582,0.0561,70.3868,1676.5284,28.07,0.047544664,0.01,0.02
78,0.3927,0.1337,0.016,0.07,0.3875,0.5425,201.9221,0.5333,70.9293,8321.1175,70.5396,0.5425,19.5453,0.0516,70.9293,1696.0737,28.1216,0.052742677,0.01,0.02
79,0.3681,0.1279,0.0155,0.0724,0.4161,0.5115,193.6636,0.5026,71.4407,8514.7811,71.0422,0.5115,18.1999,0.0472,71.4407,1714.2736,28.1689,0.058456983,0.01,0.02
80,0.3429,0.1216,0.0148,0.0748,0.446,0.4792,184.4792,0.4708,71.92,8699.2604,71.513,0.4792,16.8319,0.043,71.92,1731.1055,28.2118,0.064726382,0.01,0.02
81,0.3172,0.1147,0.0141,0.077,0.477,0.446,174.4342,0.438,72.366,8873.6945,71.9511,0.446,15.4518,0.0388,72.366,1746.5573,28.2506,0.071589813,0.01,0.02
82,0.2914,0.1074,0.0132,0.0791,0.509,0.412,163.6151,0.4045,72.7779,9037.3097,72.3556,0.412,14.0713,0.0348,72.7779,1760.6286,28.2854,0.079085644,0.01,0.02
83,0.2654,0.0996,0.0123,0.0811,0.5415,0.3774,152.1316,0.3705,73.1553,9189.4412,72.726,0.3774,12.7026,0.0309,73.1553,1773.3312,28.3164,0.087250812,0.01,0.02
84,0.2396,0.0916,0.0114,0.0829,0.5745,0.3426,140.116,0.3362,73.4979,9329.5573,73.0623,0.3426,11.3586,0.0273,73.4979,1784.6898,28.3436,0.096119808,0.01,0.02
85,0.2142,0.0834,0.0104,0.0846,0.6074,0.308,127.7233,0.3022,73.8059,9457.2806,73.3644,0.308,10.0524,0.0238,73.8059,1794.7421,28.3674,0.105723518,0.01,0.02
86,0.1894,0.075,0.0094,0.0862,0.64,0.2738,115.1278,0.2686,74.0798,9572.4084,73.633,0.2738,8.7971,0.0205,74.0798,1803.5393,28.3879,0.11608792,0.01,0.02
87,0.1655,0.0667,0.0084,0.0876,0.6717,0.2406,102.5191,0.236,74.3204,9674.9274,73.869,0.2406,7.6055,0.0175,74.3204,1811.1448,28.4054,0.12723268,0.01,0.02
88,0.1428,0.0585,0.0074,0.0889,0.7024,0.2088,90.0959,0.2047,74.5292,9765.0233,74.0737,0.2088,6.4892,0.0147,74.5292,1817.634,28.4202,0.139169666,0.01,0.02
89,0.1215,0.0507,0.0064,0.09,0.7314,0.1786,78.0582,0.175,74.7078,9843.0816,74.2487,0.1786,5.4584,0.0122,74.7078,1823.0925,28.4324,0.15190146,0.01,0.02
90,0.1018,0.0432,0.0055,0.091,0.7585,0.1505,66.5982,0.1475,74.8583,9909.6797,74.3962,0.1505,4.5214,0.01,74.8583,1827.6139,28.4424,0.165419918,0.01,0.02
91,0.084,0.0362,0.0046,0.0918,0.7834,0.1248,55.8899,0.1222,74.9831,9965.5697,74.5184,0.1248,3.6839,0.0081,74.9831,1831.2978,28.4505,0.179704878,0.01,0.02
92,0.068,0.0298,0.0038,0.0925,0.8059,0.1017,46.0805,0.0996,75.0847,10011.6502,74.618,0.1017,2.9489,0.0064,75.0847,1834.2467,28.4568,0.194723105,0.01,0.02
93,0.0541,0.0241,0.0031,0.0931,0.8257,0.0813,37.2812,0.0796,75.166,10048.9314,74.6976,0.0813,2.3163,0.0049,75.166,1836.5629,28.4618,0.210427582,0.01,0.02
94,0.0422,0.0191,0.0025,0.0935,0.8428,0.0637,29.5613,0.0624,75.2297,10078.4927,74.76,0.0637,1.7831,0.0038,75.2297,1838.3461,28.4656,0.226757239,0.01,0.02
95,0.0322,0.0148,0.0019,0.0939,0.8572,0.0489,22.9455,0.0479,75.2786,10101.4382,74.8078,0.0489,1.3438,0.0028,75.2786,1839.6899,28.4684,0.243637203,0.01,0.02
96,0.024,0.0112,0.0015,0.0942,0.8691,0.0367,17.4141,0.0359,75.3153,10118.8523,74.8437,0.0367,0.9901,0.002,75.3153,1840.68,28.4704,0.260979632,0.01,0.02
97,0.0175,0.0083,0.0011,0.0944,0.8787,0.0269,12.9075,0.0263,75.3422,10131.7598,74.87,0.0269,0.7125,0.0015,75.3422,1841.3925,28.4719,0.278685157,0.01,0.02
98,0.0125,0.006,8.0E-4,0.0946,0.8862,0.0192,9.3339,0.0188,75.3615,10141.0937,74.8889,0.0192,0.5002,0.001,75.3615,1841.8927,28.4729,0.296644902,0.01,0.02
99,0.0086,0.0042,6.0E-4,0.0947,0.8919,0.0134,6.5787,0.0131,75.3749,10147.6724,74.902,0.0134,0.3423,7.0E-4,75.3749,1842.235,28.4735,0.314743025,0.01,0.02
100,0.0058,0.0029,4.0E-4,0.0948,0.8961,0.0091,4.5154,0.0089,75.384,10152.1879,74.9109,0.0091,0.2281,4.0E-4,75.384,1842.4632,28.474,0.332859664,0.01,0.02
101,0.0038,0.0019,3.0E-4,0.0948,0.8992,0.006,3.0159,0.0059,75.39,10155.2038,74.9168,0.006,0.1479,3.0E-4,75.39,1842.6111,28.4743,0.350874122,0.01,0.02
102,0.0025,0.0013,2.0E-4,0.0949,0.9013,0.0039,1.959,0.0038,75.3939,10157.1628,74.9205,0.0039,0.0933,2.0E-4,75.3939,1842.7044,28.4745,0.368668136,0.01,0.02
103,0.0015,8.0E-4,1.0E-4,0.0949,0.9027,0.0024,1.237,0.0024,75.3963,10158.3998,74.9229,0.0024,0.0572,1.0E-4,75.3963,1842.7615,28.4746,0.386129015,0.01,0.02
104,9.0E-4,5.0E-4,1.0E-4,0.0949,0.9036,0.0015,0.7591,0.0014,75.3978,10159.1589,74.9243,0.0015,0.0341,1.0E-4,75.3978,1842.7956,28.4746,0.403152488,0.01,0.02
105,5.0E-4,3.0E-4,0.0,0.0949,0.9042,9.0E-4,0.4526,8.0E-4,75.3986,10159.6115,74.9252,9.0E-4,0.0197,0.0,75.3986,1842.8153,28.4747,0.419645097,0.01,0.02
106,3.0E-4,2.0E-4,0.0,0.0949,0.9046,5.0E-4,0.2623,5.0E-4,75.3991,10159.8738,74.9257,5.0E-4,0.0111,0.0,75.3991,1842.8264,28.4747,0.435526036,0.01,0.02
107,2.0E-4,1.0E-4,0.0,0.0949,0.9048,3.0E-4,0.1478,3.0E-4,75.3994,10160.0216,74.9259,3.0E-4,0.0061,0.0,75.3994,1842.8325,28.4747,0.450728361,0.01,0.02
108,1.0E-4,1.0E-4,0.0,0.0949,0.9049,2.0E-4,0.081,1.0E-4,75.3995,10160.1025,74.9261,2.0E-4,0.0032,0.0,75.3995,1842.8357,28.4747,0.46519957,0.01,0.02
109,0.0,0.0,0.0,0.0949,0.905,1.0E-4,0.0432,1.0E-4,75.3996,10160.1457,74.9262,1.0E-4,0.0017,0.0,75.3996,1842.8374,28.4747,0.478901584,0.01,0.02
110,0.0,0.0,0.0,0.0949,0.905,0.0,0.0112,0.0,75.3996,10160.1569,74.9262,0.0,4.0E-4,0.0,75.3996,1842.8378,28.4747,0.491810205,0.01,0.02
