Cycle,Healthy,Mild Disease,Progressive ,Dead (Disease),Dead (Background),Cycle_LE,Cycle_$,Cycle_QALE,Cum_LE,Cum_$,Cum_QALE,Cycle_Dis_LE,Cycle_Dis_$,Cycle_Dis_QALE,Cum_Dis_LE,Cum_Dis_$,Cum_Dis_QALE,p_death_oc,p_mild,p_progression
15,0.9692,0.0145,1.0E-4,1.0E-4,0.0161,0.9838,24.3463,0.9831,15.2979,195.7118,15.292,0.9838,15.1718,0.6126,15.2979,140.8757,11.9172,7.58313E-4,0.001,0.002
16,0.9675,0.0154,1.0E-4,1.0E-4,0.0168,0.9831,25.9286,0.9823,16.281,221.6405,16.2743,0.9831,15.6872,0.5943,16.281,156.563,12.5115,8.55822E-4,0.001,0.002
17,0.9657,0.0163,1.0E-4,1.0E-4,0.0177,0.9822,27.5022,0.9814,17.2632,249.1426,17.2557,0.9822,16.1546,0.5765,17.2632,172.7176,13.0879,9.48083E-4,0.001,0.002
18,0.9639,0.0173,1.0E-4,1.0E-4,0.0186,0.9813,29.0665,0.9804,18.2445,278.2091,18.2361,0.9813,16.5762,0.5591,18.2445,189.2938,13.647,0.001032881,0.001,0.002
19,0.9619,0.0182,1.0E-4,2.0E-4,0.0196,0.9802,30.6213,0.9793,19.2247,308.8304,19.2154,0.9802,16.9543,0.5422,19.2247,206.2481,14.1892,0.001108709,0.003,0.006
20,0.958,0.0209,2.0E-4,2.0E-4,0.0207,0.9791,35.511,0.978,20.2039,344.3414,20.1934,0.9791,19.0889,0.5257,20.2039,225.3369,14.715,0.001174706,0.003,0.006
21,0.954,0.0237,3.0E-4,2.0E-4,0.0218,0.9779,40.3636,0.9767,21.1818,384.705,21.1701,0.9779,21.0655,0.5097,21.1818,246.4024,15.2247,0.001230573,0.003,0.006
22,0.9499,0.0264,4.0E-4,3.0E-4,0.0231,0.9767,45.1762,0.9753,22.1585,429.8812,22.1454,0.9767,22.8904,0.4942,22.1585,269.2928,15.7189,0.001276472,0.003,0.006
23,0.9459,0.0291,5.0E-4,3.0E-4,0.0243,0.9754,49.9464,0.9739,23.1339,479.8276,23.1193,0.9754,24.5703,0.4791,23.1339,293.8632,16.198,0.001312929,0.003,0.006
24,0.9418,0.0317,6.0E-4,4.0E-4,0.0256,0.974,54.6723,0.9724,24.1079,534.4999,24.0917,0.974,26.1118,0.4644,24.1079,319.975,16.6624,0.001340743,0.003,0.006
25,0.9377,0.0343,6.0E-4,5.0E-4,0.0269,0.9727,59.3525,0.9708,25.0806,593.8524,25.0625,0.9727,27.5214,0.4502,25.0806,347.4964,17.1126,0.001360907,0.003,0.006
26,0.9336,0.0369,7.0E-4,6.0E-4,0.0282,0.9712,63.9859,0.9693,26.0518,657.8383,26.0318,0.9712,28.8058,0.4364,26.0518,376.3022,17.5489,0.001374541,0.003,0.006
27,0.9295,0.0395,8.0E-4,7.0E-4,0.0295,0.9698,68.572,0.9677,27.0216,726.4104,26.9994,0.9698,29.9712,0.423,27.0216,406.2734,17.9719,0.001382842,0.003,0.006
28,0.9254,0.042,9.0E-4,8.0E-4,0.0309,0.9683,73.1103,0.9661,27.9899,799.5206,27.9655,0.9683,31.0241,0.41,27.9899,437.2975,18.3818,0.001387041,0.003,0.006
29,0.9214,0.0445,0.001,9.0E-4,0.0322,0.9668,77.6004,0.9645,28.9568,877.121,28.93,0.9668,31.9703,0.3973,28.9568,469.2678,18.7792,0.001388373,0.003,0.006
